label	text_a
2	MY  best  mate  has  this  problem  and  it  makes  me  sad  its  like  he  is  scared  but  i  cant  do  anything  the  more  i  go  on  with  it  the  more  he  gets  sick  of  it.So  i  think  dont  force  it  on  them  that  may  turn  them  away  however  hard  it  is  to  sit  there  and  listen  to  them  say  ``  i  dont  care  ''
2	So  there  white  and  there  against  racism  or  they  like  monorities  against  whites  ?
2	Too  bad  it  's  coming  form  one  of  the  biggest  liars  of  the  war  .
2	You  should  check  it  out  .
2	Imagine  if  I  got  100  percent  negro  .
2	Report  :  Nuclear  weapon  drivers  sometimes  got  drunk  -  Yahoo  !
2	hi.  i  live  in  florida.  dont  worry  i  dont  have  a  boyfriend.  not  that  no  one  will  ask  me  out  ,  but  they  are  all  *  *  *  *  *  *  lovers  .
2	A  few  weeks  ago  I  heard  a  teacher  tell  his  classroom  that  Blacks  and  Latinos  can  be  proud  of  their  culture  ,  but  whites  should  feel  ashamed  of  their  history  and  culture  .
2	God  I  hate  Canada  !
2	Many  systems  are  in  reality  authoritarian  because  of  human  nature  's  habit  of  demanding  obedience  and  then  wanting  to  purge  opponents  :  it  is  just  the  radical  right  philosophy  that  is  honest  about  it  .
2	Love  Halloween  ,  even  the  contemporary  themes  .
2	Burlington  Coat  Factory  Hiring  For  New  Store  in  Conroe  |  Houston  's  Hiring  |  a  Chron.com  blog  lots  more  to  check  out  .
2	i  live  in  the  bay  area  and  have  no  car  and  barely  any  money  to  my  name.  i  want  to  join  the  fight.  if  anyone  is  going  from  around  here  or  can  get  me  there  ,  please  pm  me  .
0	Dat  Da  ``  Rainbow  Nation  ''  folks  .....  Da  rainbow  being  all  the  different  colours  of  the  trash  in  Da  Street  .
2	The  peanut  butter  was  not  as  important  as  the  time  machine  used  to  go  back  and  teach  the  ancient  Incans  how  to  make  it  .
2	Has  anyone  picked  up  the  wording  in  the  one  commercial  for  ITT  TECH  .
2	The  amount  of  the  Armenians  chromosome  haplotypes  are  closer  to  the  England  one  .
2	The  word  nationalism  to  this  day  doesnt  have  a  watertight  definition  however  this  is  what  I  think  it  should  mean  in  this  context  :  White  nationalism  is  the  belief  that  the  white  race  must  obtain  a  country  for  only  members  of  their  race  to  reside  in  ,  for  the  purpose  of  preserving  their  race  's  existence  as  a  biological  category  and  as  well  as  their  races  culture  .
0	Most  if  not  all  of  the  whites  at  my  school  are  complete  race  traitors
0	And  now  this  clip  suggests  they  were  suffering  by  having  to  live  among  heartless  and  barbarian  Whites  .
2	Those  are  the  same  Egyptians  who  have  lived  there  for  thousands  of  years  .
2	Some  graduate  programs  will  cater  to  working  professionals  and  will  do  the  bulk  of  the  classes  on  line  with  only  one  or  two  days  per  month  actually  on  campus  .
2	I  work  in  close  proximity  to  more  of  them  than  I  care  to  .
2	Aye  ,  warriour  of  Éire  .  .  .  whether  you  would  like  fadas  for  Irish  Gæilge  ,  e.g.  ,  é  ,  í  ,  ó  and  the  like  ,  or  Scottish  Gælick  ,  e.g.  ,  ì  ,  ò  ,  è  ,  é  ,  í  ,  à  ,  ù  and  the  like  .  .  .  try  such  ,  lad  :  I.  Start  Menu  to  All  Programs  to  Accessouries  to  System  Tools  to  Litrichean  (  I  canæ  re-call  of  what  Litrichean  tis  called  in  English  for  my  computer  is  in  Gàidhlig  ,  but  tis  Script  Lettres  ,  Characters  or  the  like  ,  I  reckon.  )
2	Watch  out  for  them  one-droppers  .
2	You  'll  never  build  it  .
2	If  only  we  had  more  friends  that  we  could  count  on  through  thick  and  thin  like  balije  .
2	I'm  going  to  play  the  black  sheep  here  and  say  there  's  nothing  wrong  with  what  he  's  doing  .
2	If  it  goes  against  the  official  story  then  that  is  Holocaust  Denial  and  she  must  serve  time  in  modern  gulag  .
2	Y  !
2	When  anyone  is  ready  we  are  now  taking  reservations  on  lots  as  we  speak  first  come  first  served  contact  me  for  more  info  .
2	http://www.wnd.com/index.php  ?  fa  =  PAGE.view  &  pageId  =  100806
2	I  think  it  has  something  to  do  with  the  type  of  sugar  or  where  the  sugar  was  originally  grown  .
1	.
2	Besides  that  ,  there  's  the  Transnistria  issue  to  be  solved  and  the  hard  fact  that  Romania  simply  does  not  have  the  economical  power  to  accomplish  such  a  re-unification  .
2	Im  not  sure  of  a  site  but  those  stats  are  from  ``  The  Color  Of  Crime  ''  book  .
2	Guy  looks  like  he  could  be  Mexican  .
2	My  wife  is  in  the  other  room  now  getting  her  totals  together  to  hand  in  tomorrow  morning  .
2	No  more  about  this  in  this  thread  please  .
0	It  only  took  Labour  ten  years  to  bring  more  immigrants  *  cough  *  invaders  ,  here  than  had  ever  migrated  here  in  the  last  5  thousand  years  .
2	You  can  grow  fruit  there  .
2	Email  me  at  ericahoesch@ntelos.net.
2	there  you  go  defending  the  jews  again  .
0	that  is  absolutely  *  *  *  *  ing  unbelievable.they  can  just  go  route  one  now.no  more  messing  about  going  through  europe.in  bongo  land  one  minute  jump  on  the  plane  and  5  hours  later  hop  off  the  plane  with  the  biggest  negro  smile  and  shout  ASYLUM.i  am  totally  depressed  hearing  this
2	Welcome  SourceX  ,  I  hope  you  will  read  more  and  maybe  become  a  white  nationalist  ,  I  refrain  from  calling  myself  a  racist  because  I  do  n't  hate  other  races  but  a  white  nationalist  because  I  want  to  preserve  my  race  and  culture  and  to  live  in  a  white  country  .
2	This  is  an  awesome  post  !
0	Marxist  Subversion  happened  .
0	Most  White  Western  Women  have  the  racial  sense  of  a  cabbage  .
2	I  'm  lame  ,  I  know  ,  but  just  thought  I  could  get  that  all  out  in  one  setting  ,  88  !  2508
2	No,  I  've  been  homeschooling  for  years  .
2	Is  it  in  your  job  contract  to  go  to  death  to  save  the  World  ?
2	You  are  not  worth  my  time  kid  so  this  is  the  last  answer  you  will  get  from  me  because  you  are  now  on  my  ignore  list  as  are  the  rest  of  the  losers  that  stayed  with  jenkins  .
2	Q  :  If  Johnny  was  at  his  own  10  yard  line  when  he  threw  the  ball  and  Jimmy  was  at  his  30  yard  line  when  he  caught  the  ball  ,  how  many  yards  did  Johnny  throw  the  ball  ?
2	What,  like  blowing  up  old  ladies  and  little  kids  ?
2	Then  how  come  the  only  ones  they  arrested  in  connection  with  those  attacks  were  active  FSB  agents  ?
2	They  neglect  to  mention  that  Jared  also  ran  about  30  miles  a  day  ...
2	And  Look  at  the  bollix  teachers  are  feeding  our  kids  .
2	YouTube  -  &  #x202a  ;  Black  Male  Rapes  10  yr  old  Deaf  Girl  ,  Claims  He  Thought  She  was  her  Mother  &  #x202c  ;  &  rlm  ;  YouTube  -  &  #x202a  ;  Robbers  shoot  customer  &  #x202c  ;  &  rlm  ;  YouTube  -  &  #x202a  ;  String  of  robberies  by  Urban  Youths  continue  in  Lincoln  ,  NE  &  #x202c  ;  &  rlm  ;
2	Lords  of  the  Planet  ,  the  Solar  System  and  the  Beyond  .
2	Adjustable  rear  sight  ,  orange  target  insert  in  the  front  sight  ,  modified  cylinder  .
2	There  are  few  places  nowadays  where  there  is  freedom  of  speech  so  you  'll  enjoy  posting  here  !
2	If  you  are  talking  about  Alexander  the  Great  then  yes  .
0	There  will  always  be  survivors  ,  the  juden  will  never  let  go  of  the  holahoax
2	Our  schools  are  horrible  ,  all  they  teach  is  telling  kids  to  be  liberal  and  respect  people  of  all  races  and  take  no  pride  in  your  own  .
2	But  I  found  my  way  ...
0	When  the  entire  non-White  world  is  breathing  down  your  neck  waiting  for  an  opportunity  to  kill  you  ,  anything  you  do  to  protect  yourself  is  self-defense  .
2	This  had  me  falling  down  laughing  .
2	Hey..
2	Renoir  was  a  French  artist  .
